id,external_id,name,nombre_oficial,parent_iso,parent_state,compound_key,poblacion_wiki_2021,area_wiki_km2,densidad_wiki,poblacion_ine_2010,poblacion_ine_2020,poblacion_ine_2026,poblacion_ine_2050,poblacion_est_2026,area_est_km2,idh_est,pib_total_est_mm_usd,pib_pc_est_usd
92452058B50148622636911,ve_sucre_ribero,Ribero,Municipio Ribero,VE-R,Sucre,sucre__ribero,67930,1480,45.89,63514,72982,78309,93896,,,,,
92452058B80982982494496,ve_cojedes_ricaurte,Ricaurte,Municipio Ricaurte,VE-H,Cojedes,cojedes__ricaurte,18456,905,20.39,12448,14020,14850,17804,,,,,
92452058B96512574408350,ve_merida_rivas_davila,Rivas Dávila,Municipio Rivas Dávila,VE-L,Mérida,merida__rivas davila,24264,182,133.31,20407,24858,27413,33502,10812,267.86,0.703,45.81,4237
92452058B50017946052118,ve_barinas_rojas,Rojas,Municipio Rojas,VE-E,Barinas,barinas__rojas,49747,1591,31.26,39530,46498,50208,58733,,,,,
92452058B8421162175114,ve_zulia_rosario_de_perija,Rosario de Perijá,Municipio Rosario de Perijá,VE-V,Zulia,zulia__rosario de perija,106879,3914,27.3,84945,99190,106929,130584,20174,1554.28,0.772,135.19,6701
92452058B73572326911249,ve_bolivar_roscio,Roscio,Municipio Roscio,VE-F,Bolívar,bolivar__roscio,27788,6182,4.49,24584,28931,31365,36386,42353,10106.82,0.658,133.12,3143
92452058B70531962129306,ve_tachira_samuel_dario_maldonado,Samuel Darío Maldonado,Municipio Samuel Darío Maldonado,VE-S,Táchira,tachira__samuel dario maldonado,22051,548,40.23,18275,19933,20882,25287,,,,,
92452058B56896825974617,ve_cojedes_san_carlos,San Carlos,Municipio San Carlos,VE-H,Cojedes,cojedes__san carlos,,,,,,,,,,,,
92452058B7770981704076,ve_aragua_san_casimiro,San Casimiro,Municipio San Casimiro,VE-D,Aragua,aragua__san casimiro,35103,498,70.48,25885,28514,29744,33098,15468,215.87,0.67,52.54,3397
92452058B43927171867078,ve_tachira_san_cristobal,San Cristóbal,Municipio San Cristóbal,VE-S,Táchira,tachira__san cristobal,302203,241,1253.95,272862,289852,298816,338872,,,,,
92452058B11643433355356,ve_carabobo_san_diego,San Diego,Municipio San Diego,VE-G,Carabobo,carabobo__san diego,126101,106,1189.63,109969,124191,131056,151267,66176,154.65,0.74,359.73,5436
92452058B12167323137967,ve_yaracuy_san_felipe,San Felipe,Municipio San Felipe,VE-U,Yaracuy,yaracuy__san felipe,145783,472,308.86,107079,130411,144179,183502,,,,,
