id,external_id,name,nombre_oficial,parent_iso,parent_state,poblacion_2010,poblacion_2020,poblacion_2026,poblacion_2050,poblacion_2021,area_km2,densidad,capital,idh,pib_total_mm_usd,pib_per_capita_usd
92452058B34280729247629,ve_falcon_falcon,Falcón,Municipio Falcón,VE-I,Falcón,50920,58034,61773,68185,55014,1577,34.88,Pueblo Nuevo,0.683,1652.95,3719
92452058B17363739467274,ve_guarico_francisco_de_miranda,Francisco de Miranda,Municipio Francisco de Miranda,VE-J,Guárico,148642,181492,200622,244895,165539,13490,12.27,Calabozo,,,
92452058B99053619460093,ve_tachira_francisco_de_miranda,Francisco de Miranda,Municipio Francisco de Miranda,VE-S,Táchira,4031,4365,4553,5421,5169,262,19.72,San José de Bolívar,,,
92452058B9282611745030,ve_anzoategui_francisco_de_miranda,Francisco de Miranda,Municipio Francisco de Miranda,VE-B,Anzoátegui,43353,47053,48757,48501,50181,5334,9.4,Pariaguán,0.634,58.16,2680
92452058B30205634756293,ve_cojedes_girardot,Girardot,Municipio Girardot,VE-H,Cojedes,11713,13166,13929,16624,16806,3468,4.84,El Baúl,,,
92452058B62779861524453,ve_aragua_girardot,Girardot,Municipio Girardot,VE-D,Aragua,431547,475175,495544,550785,469371,302,1554.2,Maracay,0.724,5079.93,4892
92452058B82042298353727,ve_miranda_independencia,Independencia,Municipio Independencia,VE-M,Miranda,145361,165268,174662,191132,173685,284,611.56,Santa Teresa del Tuy,0.741,612.24,5453
92452058B61290497369270,ve_anzoategui_independencia,Independencia,Municipio Independencia,VE-B,Anzoátegui,31904,38991,43381,57306,41745,5929,7.04,Soledad,0.64,85.7,2787
92452058B61414933124472,ve_tachira_independencia,Independencia,Municipio Independencia,VE-S,Táchira,36521,40169,42289,52205,43065,80,538.31,Capacho Nuevo,,,
92452058B35610022203869,ve_yaracuy_independencia,Independencia,Municipio Independencia,VE-U,Yaracuy,63774,75851,82676,99434,72788,98,742.73,Independencia,,,
92452058B50204709100098,ve_anzoategui_libertad,Libertad,Municipio Libertad,VE-B,Anzoátegui,16191,18036,18983,20101,20278,2043,9.92,San Mateo,0.683,97.99,3721
92452058B23217711082732,ve_tachira_libertad,Libertad,Municipio Libertad,VE-S,Táchira,27405,29545,30736,36192,31967,166,192.57,Capacho Viejo,,,
92452058B71261275194510,ve_carabobo_libertador,Libertador,Municipio Libertador,VE-G,Carabobo,172121,191817,200816,224542,207247,558,371.41,Tocuyito,0.729,548.18,5040
92452058B74442038912920,ve_sucre_libertador,Libertador,Municipio Libertador,VE-R,Sucre,9932,11534,12456,15321,12713,237,53.64,Tunapuy,,,
92452058B90473537969965,ve_aragua_libertador,Libertador,Municipio Libertador,VE-D,Aragua,117677,130517,136705,154607,158616,52,3050.3,Palo Negro,0.625,86.97,2531
92452058B63201291940851,ve_merida_libertador,Libertador,Municipio Libertador,VE-L,Mérida,252042,299191,324896,373220,261076,803,325.15,Mérida,0.698,1940.73,4092
92452058B13345815126611,ve_distrito_capital_libertador,Libertador,Municipio Bolivariano Libertador,VE-A,Distrito Capital,2070927,2090479,2099223,2066367,2277972,433,5260.9,Caracas,0.788,16493.4,7497
92452058B22657240029689,ve_tachira_libertador,Libertador,Municipio Libertador,VE-S,Táchira,21847,23709,24762,29622,27016,1139,23.71,Abejales,,,
92452058B64772493971985,ve_monagas_libertador,Libertador,Municipio Libertador,VE-N,Monagas,43692,49934,52767,61157,54373,3447,15.77,Temblador,,,
92452058B95168979191,ve_nueva_esparta_marino,Mariño,Municipio Mariño,VE-O,Nueva Esparta,,,,,118649,39,3042.28,Porlamar,,,
92452058B36519834610261,ve_sucre_marino,Mariño,Municipio Mariño,VE-R,Sucre,24978,28993,31300,38453,28217,469,60.16,Irapa,,,
92452058B11824178609180,ve_carabobo_miranda,Miranda,Municipio Miranda,VE-G,Carabobo,28388,32907,35276,43360,34809,161,216.2,Miranda,0.775,647.18,6875
92452058B99639061411506,ve_merida_miranda,Miranda,Municipio Miranda,VE-L,Mérida,22654,27261,29845,35420,27977,408,68.57,Timotes,0.666,46.39,3314
92452058B1546334358138,ve_trujillo_miranda,Miranda,Municipio Miranda,VE-T,Trujillo,23299,27714,30124,35349,26177,374,69.99,El Dividive,,,
92452058B40555810306039,ve_falcon_miranda,Miranda,Municipio Miranda,VE-I,Falcón,218965,254106,273312,313525,268862,1805,148.95,Santa Ana de Coro,,,
92452058B50002149731912,ve_portuguesa_paez,Páez,Municipio Páez,VE-P,Portuguesa,182507,215938,234917,283969,219524,425,516.52,Acarigua,,,
92452058B91932726489103,ve_zulia_paez,Páez,Municipio Páez,VE-V,Zulia,,,,,91162,2370,38.46,Sinamaica,,,
92452058B72828901186947,ve_miranda_paez,Páez,Municipio Páez,VE-M,Miranda,39303,43671,45522,47154,46005,963,47.77,Río Chico,0.731,345.06,5099
92452058B68065976769542,ve_apure_paez,Páez,Municipio Páez,VE-C,Apure,,,,,122130,12820,9.52,Guasdualito,,,
